id,option_label_nl,option_label_en
opt-airco-203-2-ouder_dan_20_jaar,Ouder dan 20 jaar,Older than 20 years
opt-airco-204-1-binnen_buitenunit_reinigen,Binnen- en buitenunit reinigen,Clean indoor and outdoor unit
opt-airco-204-1-filters_reinigen,Filters reinigen,Clean filters
opt-airco-204-1-volledig_onderhoudscontract,Volledig onderhoudscontract,Complete maintenance contract
opt-airco-204-2-eenmalig,Eenmalig,One-time
opt-airco-204-2-halfjaarlijks,Halfjaarlijks,Semi-annually
opt-airco-204-2-jaarlijks,Jaarlijks,Yearly
opt-alarmsystemen-301-1-appartement,Appartement,Appartement
opt-alarmsystemen-301-1-bedrijfspand,Bedrijfspand,Bedrijfspand
opt-alarmsystemen-301-1-woning,Woning,Woning
opt-alarmsystemen-301-2-bekabeld,Bekabeld,Bekabeld
opt-alarmsystemen-301-2-combinatie,Combinatie,Combinatie
opt-alarmsystemen-301-2-draadloos,Draadloos,Draadloos
opt-alarmsystemen-301-2-weet_ik_nog_niet,Weet ik nog niet,I do not know yet
opt-alarmsystemen-301-3-ja,Ja,Yes
opt-alarmsystemen-301-3-nee,Nee,No
opt-alarmsystemen-302-1-anders,Anders,Other
opt-alarmsystemen-302-1-extra_bewegingssensoren,Extra bewegingssensoren,Extra bewegingssensoren
opt-alarmsystemen-302-1-extra_cameras,Extra camera’s,Extra camera’s
opt-alarmsystemen-302-1-extra_raam_deursensoren,Extra raam-/deursensoren,Extra raam-/deursensoren
opt-alarmsystemen-302-2-12,1–2,1–2
opt-alarmsystemen-302-2-35,3–5,3–5
opt-alarmsystemen-302-2-meer_dan_5,Meer dan 5,Meer dan 5
opt-alarmsystemen-303-1-betere_beveiliging_gewenst,Betere beveiliging gewenst,Betere beveiliging gewenst
opt-alarmsystemen-303-1-defect,Defect,Defect
opt-alarmsystemen-303-1-verouderd,Verouderd,Outdated
opt-alarmsystemen-303-2-bekabeld,Bekabeld,Bekabeld
opt-alarmsystemen-303-2-combinatie,Combinatie,Combinatie
opt-alarmsystemen-303-2-draadloos,Draadloos,Draadloos
opt-alarmsystemen-303-2-weet_ik_nog_niet,Weet ik nog niet,I do not know yet
opt-alarmsystemen-303-3-ja,Ja,Yes
opt-alarmsystemen-303-3-nee,Nee,No
opt-alarmsystemen-304-1-alarm_gaat_onnodig_af,Alarm gaat onnodig af,Alarm gaat onnodig af
opt-alarmsystemen-304-1-anders,Anders,Other
opt-alarmsystemen-304-1-bediening_defect,Bediening defect,Bediening defect
opt-alarmsystemen-304-1-sensor_werkt_niet,Sensor werkt niet,Sensor werkt niet
opt-alarmsystemen-304-2-05_jaar,0–5 jaar,0–5 jaar
opt-alarmsystemen-304-2-1015_jaar,10–15 jaar,10–15 jaar
opt-alarmsystemen-304-2-510_jaar,5–10 jaar,5–10 jaar
opt-alarmsystemen-304-2-ouder_dan_15_jaar,Ouder dan 15 jaar,Oldr dan 15 jaar
opt-architect-501-1-ja,Ja,Yes
opt-architect-501-1-nee,Nee,No
opt-architect-501-2-definitief_plan__vergunning,Definitief plan & vergunning,Definitief plan & vergunning
opt-architect-501-2-ontwerpfase,Ontwerpfase,Designfase
opt-architect-501-2-orintatie_ideen_verzamelen,Oriëntatie (ideeën verzamelen),Oriëntatie (ideeën verzamelen)
opt-architect-501-3-anders,Anders,Other
opt-architect-501-3-appartement,Appartement,Appartement
opt-architect-501-3-eengezinswoning,Eengezinswoning,Eengezinswoning
opt-architect-501-3-villa,Villa,Villa
opt-architect-502-1-dakkapel_zolder,Dakkapel/zolder,Dakkapel/zolder
opt-architect-502-1-extra_kamer,Extra kamer,Extra kamer
opt-architect-502-1-gehele_woning,Gehele woning,Gehele woning
opt-architect-502-1-keuken_badkamer,Keuken/badkamer,Keuken/badkamer
opt-architect-502-2-ja,Ja,Yes
opt-architect-502-2-nee,Nee,No
opt-architect-502-3-ja,Ja,Yes
opt-architect-502-3-nee,Nee,No
opt-architect-502-3-weet_ik_nog_niet,Weet ik nog niet,I do not know yet
opt-architect-503-1-anders,Anders,Other
opt-architect-503-1-garage_carport,Garage/carport,Garage/carport
opt-architect-503-1-serre_veranda,Serre/veranda,Serre/veranda
opt-architect-503-1-uitbouw_woonkamer,Uitbouw woonkamer,Uitbouw woonkamer
opt-architect-503-2-ja,Ja,Yes
opt-architect-503-2-nee,Nee,No
opt-architect-503-2-weet_ik_niet,Weet ik niet,I do not know
opt-architect-503-3-ja,Ja,Yes
opt-architect-503-3-nee,Nee,No
opt-architect-504-1-badkamer,Badkamer,Badkamer
opt-architect-504-1-keuken,Keuken,Keuken
opt-architect-504-1-meerdere_ruimtes,Meerdere ruimtes,Meerdere ruimtes
opt-architect-504-1-slaapkamers,Slaapkamer(s),Slaapkamer(s)
opt-architect-504-1-woonkamer,Woonkamer,Woonkamer
opt-architect-504-2-complete_makeover,Complete make-over,Complete make-over
opt-architect-504-2-indeling_veranderen,Indeling veranderen,Indeling veranderen
opt-architect-504-2-maatwerk_meubels,Maatwerk meubels,Maatwerk meubels
opt-architect-504-2-stijl__sfeer_bepalen,Stijl & sfeer bepalen,Stijl & sfeer bepalen
opt-architect-505-1-ander_advies,Ander advies,Ander advies
opt-architect-505-1-bouwtechnisch_advies,Bouwtechnisch advies,Bouwtechnisch advies
opt-architect-505-1-energieprestatie___duurzaamheid,Energieprestatie / duurzaamheid,Energieprestatie / duurzaamheid
opt-architect-505-1-omgevingsvergunning,Omgevingsvergunning,Omgevingsvergunning
opt-architect-505-2-bouw_al_gestart,Bouw al gestart,Bouw al gestart
opt-architect-505-2-orintatie,Oriëntatie,Oriëntatie
opt-architect-505-2-plannen_uitgewerkt,Plannen uitgewerkt,Plannen uitgewerkt
opt-asbest-601-1-anders,Anders,Other
opt-asbest-601-1-bedrijfspand,Bedrijfspand,Bedrijfspand
opt-asbest-601-1-schuur_garage,Schuur/garage,Schuur/garage
opt-asbest-601-1-woning,Woning,Woning
opt-asbest-601-2-renovatie,Renovatie,Renovatie
opt-asbest-601-2-sloop,Sloop,Sloop
opt-asbest-601-2-verkoop_woning,Verkoop woning,Verkoop woning
opt-asbest-601-2-weet_ik_nog_niet,Weet ik nog niet,I do not know yet
opt-asbest-602-1-anders,Anders,Other
opt-asbest-602-1-dakplaten,Dakplaten,Dakphave
opt-asbest-602-1-gevel,Gevel,Gevel
opt-asbest-602-1-leidingen,Leidingen,Leidingen
opt-asbest-602-1-vloer,Vloer,Vloer
opt-asbest-602-2-groot_50100_m,Groot (50–100 m²),Large (50-100 sqm)
opt-asbest-602-2-klein_tot_10_m,Klein (tot 10 m²),Small (up to 10 sqm)
opt-asbest-602-2-middel_1050_m,Middel (10–50 m²),Medium (10-50 sqm)
opt-asbest-602-2-zeer_groot_100_m,Zeer groot (100+ m²),Very large (100+ sqm)
opt-asbest-602-3-ja,Ja,Yes
opt-asbest-602-3-nee,Nee,No
opt-asbest-602-3-weet_ik_niet,Weet ik niet,I do not know
opt-asbest-603-1-bedrijfspand,Bedrijfspand,Bedrijfspand
opt-asbest-603-1-schuur_garage,Schuur/garage,Schuur/garage
opt-asbest-603-1-woning,Woning,Woning
opt-asbest-603-2-groot_50100_m,Groot (50–100 m²),Large (50-100 sqm)
opt-asbest-603-2-klein_tot_20_m,Klein (tot 20 m²),Small (up to 20 sqm)
opt-asbest-603-2-middel_2050_m,Middel (20–50 m²),Medium (20-50 sqm)
opt-asbest-603-2-zeer_groot_100_m,Zeer groot (100+ m²),Very large (100+ sqm)
opt-asbest-603-3-ja,Ja,Yes
opt-asbest-603-3-nee,Nee,No
opt-bestrating-701-1-anders,Anders,Other
opt-bestrating-701-1-oprit,Oprit,Driveway
opt-bestrating-701-1-terras,Terras,Patio
opt-bestrating-701-1-tuinpad,Tuinpad,Gardenpad
opt-bestrating-701-2-anders,Anders,Other
opt-bestrating-701-2-betonstenen,Betonstenen,Concrete pavers
opt-bestrating-701-2-klinkers,Klinkers,Klinkers
opt-bestrating-701-2-natuursteen,Natuursteen,Natural stone
opt-bestrating-701-2-tegels_groot_formaat,Tegels (groot formaat),Tegels (groot formaat)
opt-bestrating-701-3-groot_50100_m,Groot (50–100 m²),Large (50-100 sqm)
opt-bestrating-701-3-klein_tot_20_m,Klein (tot 20 m²),Small (up to 20 sqm)
opt-bestrating-701-3-middel_2050_m,Middel (20–50 m²),Medium (20-50 sqm)
opt-bestrating-701-3-zeer_groot_100_m,Zeer groot (100+ m²),Very large (100+ sqm)
opt-bestrating-702-1-andere_stijl_gewenst,Andere stijl gewenst,Andere stijl gewenst
opt-bestrating-702-1-anders,Anders,Other
opt-bestrating-702-1-slechte_waterafvoer,Slechte waterafvoer,Slechte waterafvoer
opt-bestrating-702-1-verouderd___beschadigd,Verouderd / beschadigd,Outdated / beschadigd
opt-bestrating-702-2-ja,Ja,Yes
opt-bestrating-702-2-nee,Nee,No
opt-bestrating-702-3-anders,Anders,Other
opt-bestrating-702-3-betonstenen,Betonstenen,Concrete pavers
opt-bestrating-702-3-klinkers,Klinkers,Klinkers
opt-bestrating-702-3-natuursteen,Natuursteen,Natural stone
opt-bestrating-702-3-tegels,Tegels,Tegels
opt-bestrating-703-1-anders,Anders,Other
opt-bestrating-703-1-kapotte_tegels_stukken,Kapotte tegels/stukken,Kapotte tegels/stukken
opt-bestrating-703-1-onkruid_tussen_voegen,Onkruid tussen voegen,Weeds tussen voegen
opt-bestrating-703-1-verzakte_bestrating,Verzakte bestrating,Verzakte paving
opt-bestrating-703-2-groot_3060_m,Groot (30–60 m²),Large (30-60 m²)
opt-bestrating-703-2-klein_tot_10_m,Klein (tot 10 m²),Small (up to 10 sqm)
opt-bestrating-703-2-middel_1030_m,Middel (10–30 m²),Medium (10-30 m²)
opt-bestrating-703-2-zeer_groot_60_m,Zeer groot (60+ m²),Very large (60+ m²)
opt-betonwerken-801-1-anders,Anders,Other
opt-betonwerken-801-1-garage,Garage,Garage
opt-betonwerken-801-1-tuinhuis,Tuinhuis,Gardenhuis
opt-betonwerken-801-1-woning,Woning,Woning
opt-betonwerken-801-2-groot_50100_m,Groot (50–100 m²),Large (50-100 sqm)
opt-betonwerken-801-2-klein_tot_20_m,Klein (tot 20 m²),Small (up to 20 sqm)
opt-betonwerken-801-2-middel_2050_m,Middel (20–50 m²),Medium (20-50 sqm)
opt-betonwerken-801-2-zeer_groot_100_m,Zeer groot (100+ m²),Very large (100+ sqm)
opt-betonwerken-801-3-ja,Ja,Yes
opt-betonwerken-801-3-nee,Nee,No
opt-betonwerken-802-1-betonvloer,Betonvloer,Betonvloer
opt-betonwerken-802-1-dekvloer___chape,Dekvloer / chape,Dekvloer / chape
opt-betonwerken-802-1-gepolierde_vloer,Gepolierde vloer,Gepolierde vloer
opt-betonwerken-802-1-gevlinderde_vloer,Gevlinderde vloer,Gevlinderde vloer
opt-betonwerken-802-2-anders,Anders,Other
opt-betonwerken-802-2-bedrijfshal,Bedrijfshal,Bedrijfshal
opt-betonwerken-802-2-garage,Garage,Garage
opt-betonwerken-802-2-woning,Woning,Woning
opt-betonwerken-802-3-groot_50200_m,Groot (50–200 m²),Large (50-200 sqm)
opt-betonwerken-802-3-klein_tot_20_m,Klein (tot 20 m²),Small (up to 20 sqm)
opt-betonwerken-802-3-middel_2050_m,Middel (20–50 m²),Medium (20-50 sqm)
opt-betonwerken-802-3-zeer_groot_200_m,Zeer groot (200+ m²),Very large (200+ m²)
opt-betonwerken-803-1-anders,Anders,Other
opt-betonwerken-803-1-balkon,Balkon,Balkon
opt-betonwerken-803-1-muur,Muur,Muur
opt-betonwerken-803-1-trap,Trap,Trap
opt-betonwerken-803-2-groot,Groot,Large
opt-betonwerken-803-2-klein,Klein,Small
opt-betonwerken-803-2-middel,Middel,Medium
opt-betonwerken-804-1-afbrokkelend_beton,Afbrokkelend beton,Afbrokkelend beton
opt-betonwerken-804-1-anders,Anders,Other
opt-betonwerken-804-1-scheuren,Scheuren,Scheuren
opt-betonwerken-804-1-wapening_zichtbaar,Wapening zichtbaar,Wapening zichtbaar
opt-betonwerken-804-2-groot_hele_constructie,Groot (hele constructie),Large (hele constructie)
opt-betonwerken-804-2-klein_enkele_plekken,Klein (enkele plekken),Small (enkele plekken)
opt-betonwerken-804-2-middel_deel_van_constructie,Middel (deel van constructie),Medium (deel van constructie)
opt-carport-901-1-aan_huis_bevestigd,Aan huis bevestigd,Aan huis bevestigd
opt-carport-901-1-anders,Anders,Other
opt-carport-901-1-dubbele_carport,Dubbele carport,Dubbele carport
opt-carport-901-1-vrijstaand,Vrijstaand,Vrijstaand
opt-carport-901-2-aluminium,Aluminium,Aluminium
opt-carport-901-2-anders,Anders,Other
opt-carport-901-2-hout,Hout,Wood
opt-carport-901-2-staal,Staal,Staal
opt-carport-901-3-dakpannen,Dakpannen,Dakpannen
opt-carport-901-3-geen_voorkeur,Geen voorkeur,Geen voorkeur
opt-carport-901-3-plat_dak_epdm_bitumen_etc,"Plat dak (EPDM, bitumen, etc.)","Plat dak (EPDM, bitumen, etc.)"
opt-carport-901-3-polycarbonaat,Polycarbonaat,Polycarbonaat
opt-carport-902-1-andere_stijl_gewenst,Andere stijl gewenst,Andere stijl gewenst
opt-carport-902-1-anders,Anders,Other
opt-carport-902-1-beschadigd,Beschadigd,Damaged
opt-carport-902-1-verouderd,Verouderd,Outdated
opt-carport-902-2-aan_huis_bevestigd,Aan huis bevestigd,Aan huis bevestigd
opt-carport-902-2-anders,Anders,Other
opt-carport-902-2-dubbele_carport,Dubbele carport,Dubbele carport
opt-carport-902-2-vrijstaand,Vrijstaand,Vrijstaand
opt-carport-902-3-ja,Ja,Yes
opt-carport-902-3-nee,Nee,No
opt-carport-903-1-anders,Anders,Other
opt-carport-903-1-constructie_instabiel,Constructie instabiel,Constructie instabiel
opt-carport-903-1-dak_beschadigd,Dak beschadigd,Dak beschadigd
opt-carport-903-1-roest___houtrot,Roest / houtrot,Roest / houtrot
opt-carport-903-2-groot_bijna_volledig,Groot (bijna volledig),Large (bijna volledig)
opt-carport-903-2-klein_enkele_onderdelen,Klein (enkele onderdelen),Small (enkele onderdelen)
opt-carport-903-2-middel_deel_van_de_carport,Middel (deel van de carport),Medium (deel van de carport)
opt-centrale-verwarming-1001-1-hybride_installatie_cv__warmtepomp,Hybride installatie (cv \+ warmtepomp),Hybride installatie (cv \+ warmtepomp)
opt-centrale-verwarming-1001-1-traditionele_cvketel_gas,Traditionele cv-ketel (gas),Traditionele cv-ketel (gas)
opt-centrale-verwarming-1001-1-volledig_elektrisch,Volledig elektrisch,Volledig elektrisch
opt-centrale-verwarming-1001-2-appartement,Appartement,Appartement
opt-centrale-verwarming-1001-2-rijtjeshuis,Rijtjeshuis,Rijtjeshuis
opt-centrale-verwarming-1001-2-tweeondereenkap,Twee-onder-een-kap,Twee-onder-een-kap
opt-centrale-verwarming-1001-2-vrijstaande_woning,Vrijstaande woning,Vrijstaande woning
opt-centrale-verwarming-1001-3-ja,Ja,Yes
opt-centrale-verwarming-1001-3-nee,Nee,No
opt-centrale-verwarming-1002-1-alleen_cvketel,Alleen cv-ketel,Alleen cv-ketel
opt-centrale-verwarming-1002-1-ketel__radiatoren,Ketel \+ radiatoren,Ketel \+ radiatoren
opt-centrale-verwarming-1002-1-ketel__vloerverwarming,Ketel \+ vloerverwarming,Ketel \+ vloerverwarming
opt-centrale-verwarming-1002-2-defect,Defect,Defect
opt-centrale-verwarming-1002-2-energiezuiniger_alternatief,Energiezuiniger alternatief,Energiezuiniger alternatief
opt-centrale-verwarming-1002-2-verouderd,Verouderd,Outdated
opt-centrale-verwarming-1002-3-ja,Ja,Yes
opt-centrale-verwarming-1002-3-nee,Nee,No
opt-centrale-verwarming-1003-1-geen_warm_water,Geen warm water,Geen warm water
opt-centrale-verwarming-1003-1-ketel_start_niet,Ketel start niet,Ketel start niet
opt-centrale-verwarming-1003-1-lekkage,Lekkage,Lekkage
opt-centrale-verwarming-1003-1-raar_geluid,Raar geluid,Raar geluid
opt-centrale-verwarming-1003-1-storing___foutcode,Storing / foutcode,Storing / foutcode
opt-centrale-verwarming-1003-2-05_jaar,0–5 jaar,0–5 jaar
opt-centrale-verwarming-1003-2-1015_jaar,10–15 jaar,10–15 jaar
opt-centrale-verwarming-1003-2-510_jaar,5–10 jaar,5–10 jaar
opt-centrale-verwarming-1003-2-ouder_dan_15_jaar,Ouder dan 15 jaar,Oldr dan 15 jaar
opt-centrale-verwarming-1004-1-grote_onderhoudsbeurt,Grote onderhoudsbeurt,Grote onderhoudsbeurt
opt-centrale-verwarming-1004-1-jaarlijks_onderhoudscontract,Jaarlijks onderhoudscontract,Yesarlijks onderhoudscontract
opt-centrale-verwarming-1004-1-kleine_onderhoudsbeurt,Kleine onderhoudsbeurt,Smalle onderhoudsbeurt
opt-centrale-verwarming-1004-2-05_jaar,0–5 jaar,0–5 jaar
opt-centrale-verwarming-1004-2-1015_jaar,10–15 jaar,10–15 jaar
opt-centrale-verwarming-1004-2-510_jaar,5–10 jaar,5–10 jaar
opt-centrale-verwarming-1004-2-ouder_dan_15_jaar,Ouder dan 15 jaar,Oldr dan 15 jaar
opt-dakbedekking-1101-1-hellend_dak,Hellend dak,Hellend dak
opt-dakbedekking-1101-1-plat_dak,Plat dak,Plat dak
opt-dakbedekking-1101-2-anders,Anders,Other
opt-dakbedekking-1101-2-garage,Garage,Garage
opt-dakbedekking-1101-2-schuur,Schuur,Schuur
opt-dakbedekking-1101-2-woning,Woning,Woning
opt-dakbedekking-1101-3-anders,Anders,Other
opt-dakbedekking-1101-3-bitumen,Bitumen,Bitumen
opt-dakbedekking-1101-3-dakpannen,Dakpannen,Dakpannen
opt-dakbedekking-1101-3-epdm,EPDM,EPDM
opt-dakbedekking-1101-3-pvc,PVC,PVC
opt-dakbedekking-1102-1-alleen_dakbedekking,Alleen dakbedekking,Alleen dakbedekking
opt-dakbedekking-1102-1-dakconstructie__bedekking,Dakconstructie \+ bedekking,Dakconstructie \+ bedekking
opt-dakbedekking-1102-2-hellend_dak,Hellend dak,Hellend dak
opt-dakbedekking-1102-2-plat_dak,Plat dak,Plat dak
opt-dakbedekking-1102-3-ja,Ja,Yes
opt-dakbedekking-1102-3-nee,Nee,No
opt-dakbedekking-1103-1-anders,Anders,Other
opt-dakbedekking-1103-1-beschadigde_dakpannen,Beschadigde dakpannen,Damagede dakpannen
opt-dakbedekking-1103-1-lekkage,Lekkage,Lekkage
opt-dakbedekking-1103-1-losse_naden_plat_dak,Losse naden (plat dak),Losse naden (plat dak)
opt-dakbedekking-1103-2-groot_hele_dak,Groot (hele dak),Large (hele dak)
opt-dakbedekking-1103-2-klein_enkele_pannen_plekken,Klein (enkele pannen/plekken),Small (enkele pannen/plekken)
opt-dakbedekking-1103-2-middel_deel_van_het_dak,Middel (deel van het dak),Medium (deel van het dak)
opt-dakbedekking-1104-1-isolatie,Isolatie,Isolatie
opt-dakbedekking-1104-1-nieuwe_dakbedekking,Nieuwe dakbedekking,Newe dakbedekking
opt-dakbedekking-1104-1-reparatie,Reparatie,Reparatie
opt-dakbedekking-1104-2-anders,Anders,Other
opt-dakbedekking-1104-2-bitumen,Bitumen,Bitumen
opt-dakbedekking-1104-2-epdm,EPDM,EPDM
opt-dakbedekking-1104-2-pvc,PVC,PVC
opt-dakbedekking-1105-1-isolatie,Isolatie,Isolatie
opt-dakbedekking-1105-1-nieuwe_dakpannen_plaatsen,Nieuwe dakpannen plaatsen,Newe dakpannen install
opt-dakbedekking-1105-1-reparatie___vervangen,Reparatie / vervangen,Reparatie / replace
opt-dakbedekking-1105-2-anders,Anders,Other
opt-dakbedekking-1105-2-betonpannen,Betonpannen,Betonpannen
opt-dakbedekking-1105-2-keramische_pannen,Keramische pannen,Keramische pannen
opt-dakbedekking-1105-2-leien,Leien,Leien
opt-dakisolatie-1201-1-bestaande_isolatie_verbeteren,Bestaande isolatie verbeteren,Existing isolatie verbeteren
opt-dakisolatie-1201-1-nieuwe_isolatie_plaatsen,Nieuwe isolatie plaatsen,Newe isolatie install
opt-dakisolatie-1201-2-ja,Ja,Yes
opt-dakisolatie-1201-2-nee,Nee,No
opt-dakisolatie-1201-3-groot_50100_m,Groot (50–100 m²),Large (50-100 sqm)
opt-dakisolatie-1201-3-klein_tot_20_m,Klein (tot 20 m²),Small (up to 20 sqm)
opt-dakisolatie-1201-3-middel_2050_m,Middel (20–50 m²),Medium (20-50 sqm)
opt-dakisolatie-1201-3-zeer_groot_100_m,Zeer groot (100+ m²),Very large (100+ sqm)
opt-dakisolatie-1202-1-alleen_bepaalde_kamers,Alleen bepaalde kamers,Alleen bepaalde kamers
opt-dakisolatie-1202-1-gehele_dak,Gehele dak,Gehele dak
opt-dakisolatie-1202-2-afwerken_met_gipsplaten,Afwerken met gipsplaten,Afwerken met gipsphave
opt-dakisolatie-1202-2-geen_afwerking_nodig,Geen afwerking nodig,Geen afwerking nodig
opt-dakisolatie-1202-3-groot_50100_m,Groot (50–100 m²),Large (50-100 sqm)
opt-dakisolatie-1202-3-klein_tot_20_m,Klein (tot 20 m²),Small (up to 20 sqm)
opt-dakisolatie-1202-3-middel_2050_m,Middel (20–50 m²),Medium (20-50 sqm)
opt-dakisolatie-1202-3-zeer_groot_100_m,Zeer groot (100+ m²),Very large (100+ sqm)
opt-dakisolatie-1203-1-ja,Ja,Yes
opt-dakisolatie-1203-1-nee,Nee,No
opt-dakisolatie-1203-2-anders,Anders,Other
opt-dakisolatie-1203-2-dakpannen,Dakpannen,Dakpannen
opt-dakisolatie-1203-2-leien,Leien,Leien
opt-dakisolatie-1203-3-groot_50100_m,Groot (50–100 m²),Large (50-100 sqm)
opt-dakisolatie-1203-3-klein_tot_20_m,Klein (tot 20 m²),Small (up to 20 sqm)
opt-dakisolatie-1203-3-middel_2050_m,Middel (20–50 m²),Medium (20-50 sqm)
opt-dakisolatie-1203-3-zeer_groot_100_m,Zeer groot (100+ m²),Very large (100+ sqm)
opt-dakisolatie-1204-1-ja,Ja,Yes
opt-dakisolatie-1204-1-nee,Nee,No
opt-dakisolatie-1204-2-geen_voorkeur,Geen voorkeur,Geen voorkeur
opt-dakisolatie-1204-2-glaswol,Glaswol,Glaswol
opt-dakisolatie-1204-2-houtvezelplaten,Houtvezelplaten,Woodvezelphave
opt-dakisolatie-1204-2-pir_pur,PIR/PUR,PIR/PUR
opt-dakramen-1301-1-dakkapel,Dakkapel,Dakkapel
opt-dakramen-1301-1-lichtkoepel,Lichtkoepel,Lichtkoepel
opt-dakramen-1301-1-standaard_dakraam,Standaard dakraam,Standaard dakraam
opt-dakramen-1301-1-uitzettuimelraam,Uitzettuimelraam,Uitzettuimelraam
opt-dakramen-1301-2-groot_120_cm,Groot (120+ cm),Large (120+ cm)
opt-dakramen-1301-2-klein_tot_70_cm_breed,Klein (tot 70 cm breed),Small (tot 70 cm breed)
opt-dakramen-1301-2-middel_70120_cm,Middel (70–120 cm),Medium (70–120 cm)
opt-dakramen-1301-2-weet_ik_niet,Weet ik niet,I do not know
opt-dakramen-1301-3-ja,Ja,Yes
opt-dakramen-1301-3-nee,Nee,No
opt-dakramen-1302-1-anders,Anders,Other
opt-dakramen-1302-1-dakkapel,Dakkapel,Dakkapel
opt-dakramen-1302-1-lichtkoepel,Lichtkoepel,Lichtkoepel
opt-dakramen-1302-1-standaard_dakraam,Standaard dakraam,Standaard dakraam
opt-dakramen-1302-2-anders,Anders,Other
opt-dakramen-1302-2-beter_isoleren,Beter isoleren,Beter isoleren
opt-dakramen-1302-2-lekkage,Lekkage,Lekkage
opt-dakramen-1302-2-verouderd,Verouderd,Outdated
opt-dakramen-1302-3-ja,Ja,Yes
opt-dakramen-1302-3-nee,Nee,No
opt-dakramen-1303-1-anders,Anders,Other
opt-dakramen-1303-1-glas_kapot,Glas kapot,Glas kapot
